batter,season,runs,balls_faced,dots,fours,sixes,singles,outs,strike_rate,average
RV Uthappa,2020/21,196,170,65,19,7,60,12,115.29411764705881,16.333333333333332
RV Uthappa,2021,115,86,25,8,5,37,4,133.72093023255815,28.75
RV Uthappa,2022,230,181,75,19,14,48,11,127.0718232044199,20.90909090909091
Rahmanullah Gurbaz,2023,227,178,76,17,15,46,11,127.52808988764043,20.636363636363637
Rahmanullah Gurbaz,2024,62,50,24,7,4,8,2,124.0,31.0
Rahmanullah Gurbaz,2025,74,55,25,10,3,14,4,134.54545454545453,18.5
Ramandeep Singh,2022,45,42,12,3,1,16,2,107.14285714285714,22.5
Ramandeep Singh,2024,125,64,17,5,12,21,4,195.3125,31.25
Ramandeep Singh,2025,47,36,11,1,4,17,5,130.55555555555557,9.4
Ramandeep Singh,2026,82,70,23,8,2,30,5,117.14285714285715,16.4
Rashid Khan,2017,11,9,3,0,1,3,2,122.22222222222223,5.5
Rashid Khan,2018,59,32,12,3,6,7,5,184.375,11.8
Rashid Khan,2019,34,26,8,2,2,8,5,130.76923076923077,6.8
Rashid Khan,2020/21,35,32,14,3,2,7,4,109.375,8.75
Rashid Khan,2021,83,71,28,9,2,23,8,116.90140845070422,10.375
Rashid Khan,2022,91,44,10,3,9,16,4,206.81818181818184,22.75
Rashid Khan,2023,130,66,22,8,13,10,4,196.96969696969697,32.5
Rashid Khan,2024,102,75,23,11,3,24,5,136.0,20.4
Rashid Khan,2025,40,32,13,2,3,6,5,125.0,8.0
Rashid Khan,2026,50,45,16,4,2,14,5,111.11111111111111,10.0
Rasikh Salam,2019,5,4,1,0,0,1,0,125.0,inf
Rasikh Salam,2022,7,6,4,1,0,0,1,116.66666666666667,7.0
Rasikh Salam,2024,28,30,13,4,0,12,4,93.33333333333333,7.0
Rasikh Salam,2026,3,3,0,0,0,1,0,100.0,inf
Ravi Bishnoi,2020/21,7,12,8,1,0,3,1,58.333333333333336,7.0
